Year,Geography,Geography Type,Indicator,Value,Value Type
2013,Clay,County,All Benzodiazepines,914,Rate
2013,Clay,County,Alprazolam,399,Rate
2013,Clay,County,Clonazepam,155,Rate
2013,Clay,County,Diazepam,138,Rate
2013,Clay,County,Lorazepam,159,Rate
2013,Clay,County,All Opioids for Pain,1909,Rate
2013,Clay,County,Hydrocodone,881,Rate
2013,Clay,County,Oxycodone,623,Rate
2013,Clay,County,Tramadol,110,Rate
2013,Cocke,County,All Benzodiazepines,34475,Count
2013,Cocke,County,Alprazolam,14720,Count
2013,Cocke,County,Clonazepam,5770,Count
2013,Cocke,County,Diazepam,6272,Count
2013,Cocke,County,Lorazepam,5925,Count
2013,Cocke,County,All Opioids for Pain,77133,Count
2013,Cocke,County,Hydrocodone,39951,Count
2013,Cocke,County,Oxycodone,18369,Count
2013,Cocke,County,Tramadol,6238,Count
2013,Cocke,County,All Benzodiazepines,5134,Patients
2013,Cocke,County,Alprazolam,2228,Patients
2013,Cocke,County,Clonazepam,855,Patients
2013,Cocke,County,Diazepam,1238,Patients
2013,Cocke,County,Lorazepam,1054,Patients
2013,Cocke,County,All Opioids for Pain,13422,Patients
2013,Cocke,County,Hydrocodone,10036,Patients
2013,Cocke,County,Oxycodone,3699,Patients
2013,Cocke,County,Tramadol,2183,Patients
2013,Cocke,County,All Benzodiazepines,972,Rate
2013,Cocke,County,Alprazolam,415,Rate
2013,Cocke,County,Clonazepam,163,Rate
2013,Cocke,County,Diazepam,177,Rate
2013,Cocke,County,Lorazepam,167,Rate
2013,Cocke,County,All Opioids for Pain,2174,Rate
2013,Cocke,County,Hydrocodone,1126,Rate
2013,Cocke,County,Oxycodone,518,Rate
2013,Cocke,County,Tramadol,176,Rate
2013,Coffee,County,All Benzodiazepines,44784,Count
2013,Coffee,County,Alprazolam,23835,Count
2013,Coffee,County,Clonazepam,4829,Count
2013,Coffee,County,Diazepam,6240,Count
2013,Coffee,County,Lorazepam,6384,Count
2013,Coffee,County,All Opioids for Pain,97744,Count
2013,Coffee,County,Hydrocodone,54075,Count
2013,Coffee,County,Oxycodone,20287,Count
2013,Coffee,County,Tramadol,7624,Count
2013,Coffee,County,All Benzodiazepines,7960,Patients
2013,Coffee,County,Alprazolam,4208,Patients
2013,Coffee,County,Clonazepam,945,Patients
2013,Coffee,County,Diazepam,1574,Patients
2013,Coffee,County,Lorazepam,1569,Patients
2013,Coffee,County,All Opioids for Pain,19355,Patients
2013,Coffee,County,Hydrocodone,14330,Patients
2013,Coffee,County,Oxycodone,5511,Patients
2013,Coffee,County,Tramadol,2921,Patients
2013,Coffee,County,All Benzodiazepines,839,Rate
2013,Coffee,County,Alprazolam,447,Rate
2013,Coffee,County,Clonazepam,91,Rate
2013,Coffee,County,Diazepam,117,Rate
2013,Coffee,County,Lorazepam,120,Rate
2013,Coffee,County,All Opioids for Pain,1832,Rate
2013,Coffee,County,Hydrocodone,1013,Rate
2013,Coffee,County,Oxycodone,380,Rate
2013,Coffee,County,Tramadol,143,Rate
2013,Crockett,County,All Benzodiazepines,13626,Count
2013,Crockett,County,Alprazolam,7399,Count
2013,Crockett,County,Clonazepam,1283,Count
2013,Crockett,County,Diazepam,1071,Count
2013,Crockett,County,Lorazepam,2552,Count
2013,Crockett,County,All Opioids for Pain,19642,Count
2013,Crockett,County,Hydrocodone,12043,Count
2013,Crockett,County,Oxycodone,2352,Count
2013,Crockett,County,Tramadol,3042,Count
2013,Crockett,County,All Benzodiazepines,2333,Patients
2013,Crockett,County,Alprazolam,1377,Patients
2013,Crockett,County,Clonazepam,263,Patients
2013,Crockett,County,Diazepam,266,Patients
2013,Crockett,County,Lorazepam,427,Patients
2013,Crockett,County,All Opioids for Pain,4998,Patients
2013,Crockett,County,Hydrocodone,3663,Patients
2013,Crockett,County,Oxycodone,965,Patients
2013,Crockett,County,Tramadol,1109,Patients
2013,Crockett,County,All Benzodiazepines,934,Rate
2013,Crockett,County,Alprazolam,507,Rate
2013,Crockett,County,Clonazepam,88,Rate
2013,Crockett,County,Diazepam,73,Rate
2013,Crockett,County,Lorazepam,175,Rate
2013,Crockett,County,All Opioids for Pain,1346,Rate
2013,Crockett,County,Hydrocodone,825,Rate
2013,Crockett,County,Oxycodone,161,Rate
2013,Crockett,County,Tramadol,208,Rate
2013,Cumberland,County,All Benzodiazepines,40911,Count
2013,Cumberland,County,Alprazolam,21490,Count
2013,Cumberland,County,Clonazepam,5629,Count
2013,Cumberland,County,Diazepam,4967,Count
2013,Cumberland,County,Lorazepam,5623,Count
2013,Cumberland,County,All Opioids for Pain,94799,Count
